TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
579	1	580006	580011	10.1.2.2	10.1.1.1	6	5	0	0
580	1	581005	581010	10.1.2.2	10.1.1.1	6	5	0	0
581	1	582008	582013	10.1.2.2	10.1.1.1	6	5	0	0
582	1	583006	583011	10.1.2.2	10.1.1.1	6	5	0	0
583	1	584005	584010	10.1.2.2	10.1.1.1	6	5	0	0
584	1	585008	585013	10.1.2.2	10.1.1.1	6	5	0	0
585	1	586006	586011	10.1.2.2	10.1.1.1	6	5	0	0
586	1	587005	587010	10.1.2.2	10.1.1.1	6	5	0	0
587	1	588008	588013	10.1.2.2	10.1.1.1	6	5	0	0
588	1	589006	589016	10.1.2.2	10.1.5.1	6	10	0	0
589	1	590005	590010	10.1.2.2	10.1.1.1	6	5	0	0
590	1	591008	591013	10.1.2.2	10.1.1.1	6	5	0	0
591	1	592006	592011	10.1.2.2	10.1.1.1	6	5	0	0
592	1	593005	593010	10.1.2.2	10.1.1.1	6	5	0	0
593	1	594008	594013	10.1.2.2	10.1.1.1	6	5	0	0
594	1	595006	595011	10.1.2.2	10.1.1.1	6	5	0	0
595	1	596005	596010	10.1.2.2	10.1.1.1	6	5	0	0
596	1	597008	597013	10.1.2.2	10.1.1.1	6	5	0	0
597	1	598006	598011	10.1.2.2	10.1.1.1	6	5	0	0
598	1	599005	599010	10.1.2.2	10.1.1.1	6	5	0	0
599	1	600008	600013	10.1.2.2	10.1.1.1	6	5	0	0
600	1	601006	601011	10.1.2.2	10.1.1.1	6	5	0	0
601	1	602005	602010	10.1.2.2	10.1.1.1	6	5	0	0
602	1	603008	603013	10.1.2.2	10.1.1.1	6	5	0	0
603	1	604006	604011	10.1.2.2	10.1.1.1	6	5	0	0
604	1	605005	605010	10.1.2.2	10.1.1.1	6	5	0	0
605	1	606008	606008	10.1.2.2	10.1.1.1	6	0	0	0
606	1	607006	607016	10.1.2.2	10.1.5.1	6	10	0	0
607	1	608005	608010	10.1.2.2	10.1.1.1	6	5	0	0
608	1	609008	609013	10.1.2.2	10.1.1.1	6	5	0	0
609	1	610006	610011	10.1.2.2	10.1.1.1	6	5	0	0
610	1	611005	611014	10.1.2.2	10.1.5.1	6	9	0	0
611	1	612008	612013	10.1.2.2	10.1.1.1	6	5	0	0
612	1	613006	613011	10.1.2.2	10.1.1.1	6	5	0	0
613	1	614005	614010	10.1.2.2	10.1.1.1	6	5	0	0
614	1	615008	615018	10.1.2.2	10.1.5.1	6	10	0	0
615	1	616006	616016	10.1.2.2	10.1.3.1	6	10	0	0
616	1	617005	617010	10.1.2.2	10.1.1.1	6	5	0	0
617	1	618008	618013	10.1.2.2	10.1.1.1	6	5	0	0
618	1	619006	619011	10.1.2.2	10.1.1.1	6	5	0	0
619	1	620005	620010	10.1.2.2	10.1.1.1	6	5	0	0
620	1	621008	621013	10.1.2.2	10.1.1.1	6	5	0	0
621	1	622006	622011	10.1.2.2	10.1.1.1	6	5	0	0
622	1	623005	623010	10.1.2.2	10.1.1.1	6	5	0	0
623	1	624008	624008	10.1.2.2	10.1.1.1	6	0	0	0
