TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
562	0	563005	563014	10.1.1.2	10.1.3.1	6	9	0	0
563	0	564004	564012	10.1.1.2	10.1.3.1	6	8	0	0
564	0	565004	565013	10.1.1.2	10.1.3.1	6	9	0	0
565	0	566004	566012	10.1.1.2	10.1.3.1	6	8	0	0
566	0	567004	567004	10.1.1.2	10.1.1.1	6	0	0	0
567	0	568004	568012	10.1.1.2	10.1.3.1	6	8	0	0
568	0	569004	569004	10.1.1.2	10.1.1.1	6	0	0	0
569	0	570004	570012	10.1.1.2	10.1.5.1	6	8	0	0
570	0	571004	571013	10.1.1.2	10.1.3.1	6	9	0	0
571	0	572004	572012	10.1.1.2	10.1.5.1	6	8	0	0
572	0	573004	573012	10.1.1.2	10.1.5.1	6	8	0	0
573	0	574004	574012	10.1.1.2	10.1.5.1	6	8	0	0
574	0	575004	575012	10.1.1.2	10.1.3.1	6	8	0	0
575	0	576004	576012	10.1.1.2	10.1.5.1	6	8	0	0
576	0	577004	577012	10.1.1.2	10.1.5.1	6	8	0	0
577	0	578004	578004	10.1.1.2	10.1.1.1	6	0	0	0
578	0	579004	579004	10.1.1.2	10.1.1.1	6	0	0	0
579	0	580004	580013	10.1.1.2	10.1.3.1	6	9	0	0
580	0	581004	581012	10.1.1.2	10.1.5.1	6	8	0	0
581	0	582004	582012	10.1.1.2	10.1.5.1	6	8	0	0
582	0	583004	583013	10.1.1.2	10.1.3.1	6	9	0	0
583	0	584004	584012	10.1.1.2	10.1.5.1	6	8	0	0
584	0	585004	585004	10.1.1.2	10.1.1.1	6	0	0	0
585	0	586004	586012	10.1.1.2	10.1.3.1	6	8	0	0
586	0	587004	587004	10.1.1.2	10.1.1.1	6	0	0	0
587	0	588004	588013	10.1.1.2	10.1.5.1	6	9	0	0
588	0	589004	589005	10.1.1.2	10.1.1.1	6	1	0	0
589	0	590004	590004	10.1.1.2	10.1.1.1	6	0	0	0
590	0	591004	591012	10.1.1.2	10.1.3.1	6	8	0	0
591	0	592004	592012	10.1.1.2	10.1.3.1	6	8	0	0
592	0	593004	593012	10.1.1.2	10.1.3.1	6	8	0	0
593	0	594004	594004	10.1.1.2	10.1.1.1	6	0	0	0
594	0	595004	595013	10.1.1.2	10.1.5.1	6	9	0	0
595	0	596004	596012	10.1.1.2	10.1.5.1	6	8	0	0
596	0	597004	597005	10.1.1.2	10.1.1.1	6	1	0	0
597	0	598004	598005	10.1.1.2	10.1.1.1	6	1	0	0
598	0	599004	599004	10.1.1.2	10.1.1.1	6	0	0	0
599	0	600004	600013	10.1.1.2	10.1.3.1	6	9	0	0
600	0	601004	601012	10.1.1.2	10.1.3.1	6	8	0	0
601	0	602004	602005	10.1.1.2	10.1.1.1	6	1	0	0
602	0	603004	603004	10.1.1.2	10.1.1.1	6	0	0	0
603	0	604004	604004	10.1.1.2	10.1.1.1	6	0	0	0
604	0	605005	605013	10.1.1.2	10.1.3.1	6	8	0	0
605	0	606004	606012	10.1.1.2	10.1.5.1	6	8	0	0
606	0	607004	607005	10.1.1.2	10.1.1.1	6	1	0	0
607	0	608004	608012	10.1.1.2	10.1.3.1	6	8	0	0
608	0	609004	609012	10.1.1.2	10.1.5.1	6	8	0	0
609	0	610005	610013	10.1.1.2	10.1.5.1	6	8	0	0
610	0	611004	611005	10.1.1.2	10.1.1.1	6	1	0	0
611	0	612004	612004	10.1.1.2	10.1.1.1	6	0	0	0
612	0	613004	613004	10.1.1.2	10.1.1.1	6	0	0	0
613	0	614004	614004	10.1.1.2	10.1.1.1	6	0	0	0
614	0	615004	615013	10.1.1.2	10.1.5.1	6	9	0	0
615	0	616004	616005	10.1.1.2	10.1.1.1	6	1	0	0
616	0	617004	617004	10.1.1.2	10.1.1.1	6	0	0	0
617	0	618004	618012	10.1.1.2	10.1.5.1	6	8	0	0
618	0	619004	619012	10.1.1.2	10.1.3.1	6	8	0	0
619	0	620004	620005	10.1.1.2	10.1.1.1	6	1	0	0
620	0	621004	621012	10.1.1.2	10.1.3.1	6	8	0	0
621	0	622004	622012	10.1.1.2	10.1.5.1	6	8	0	0
622	0	623004	623004	10.1.1.2	10.1.1.1	6	0	0	0
